0	3816
1111	0
1680	1
1800	38
1826	1
1829	1
1832	0
1835	3
1840	11
1844	11
1845	2
1846	2
1847	5
1849	0
1850	31
1851	1
1852	34
1854	15
1855	0
1856	15
1864	0
1865	0
1870	14
1871	4
1875	3
1880	125
1881	14
1882	0
1883	0
1888	90
1889	1
1890	453
1891	4
1892	4
1893	2
1894	5
1895	56
1896	8
1898	1
1899	3711
1900	3481
1901	3742
1902	22
1903	142
1904	87
1905	2064
1906	935
1907	152
1908	187
1909	359
1910	10578
1911	1958
1912	443
1913	562
1914	545
1915	2529
1916	518
1917	248
1918	199
1919	112
1920	12516
1921	579
1922	730
1923	911
1924	1408
1925	7735
1926	1940
1927	3179
1928	2196
1929	4195
1930	11656
1931	6655
1932	397
1933	242
1934	195
1935	2294
1936	356
1937	571
1938	390
1939	372
1940	3634
1941	438
1942	53
1943	3
1944	13
1945	1749
1946	27
1947	87
1948	137
1949	802
1950	5048
1951	131
1952	398
1953	872
1954	407
1955	2487
1956	605
1957	351
1958	1061
1959	4401
1960	4871
1961	420
1962	592
1963	904
1964	629
1965	2459
1966	711
1967	322
1968	85
1969	214
1970	1592
1971	2214
1972	3811
1973	792
1974	683
1975	1798
1976	35
1977	1267
1978	373
1979	158
1980	512
1981	112
1982	152
1983	240
1984	351
1985	673
1986	599
1987	675
1988	510
1989	604
1990	463
1991	308
1992	204
1993	159
1994	154
1995	197
1996	288
1997	250
1998	224
1999	367
2000	401
2001	471
2002	607
2003	641
2004	1270
2005	1485
2006	1282
2007	1950
2008	1017
2009	1130
2010	393
2011	196
2012	304
2013	1611
2014	2741
2015	2940
2016	3243
2017	12
